Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,
2014-01-02 00:00:00+00:00,2.437915802001953,2.525207996368408,2.5520830154418945,2.5029170513153076,2.55020809173584,49488000
2014-01-03 00:00:00+00:00,2.384817123413086,2.470207929611206,2.531874895095825,2.46875,2.524791955947876,48772800
2014-01-06 00:00:00+00:00,2.359473943710327,2.443958044052124,2.4800000190734863,2.415416955947876,2.472291946411133,62961600
2014-01-07 00:00:00+00:00,2.420619249343872,2.5072920322418213,2.5208330154418945,2.463124990463257,2.4756250381469727,46156800
2014-01-08 00:00:00+00:00,2.438720464706421,2.5260419845581055,2.5472919940948486,2.494999885559082,2.5110421180725098,46632000
2014-01-09 00:00:00+00:00,2.413578510284424,2.5,2.555417060852051,2.475416898727417,2.5527079105377197,52780800
2014-01-10 00:00:00+00:00,2.4377145767211914,2.5250000953674316,2.5335419178009033,2.4641671180725098,2.5204169750213623,59971200
2014-01-13 00:00:00+00:00,2.3293042182922363,2.412708044052124,2.540832996368408,2.3843750953674316,2.514791965484619,86553600
2014-01-14 00:00:00+00:00,2.4626543521881104,2.550832986831665,2.555833101272583,2.4375,2.438124895095825,69038400
2014-01-15 00:00:00+00:00,2.520179271697998,2.610416889190674,2.62833309173584,2.575000047683716,2.5810420513153076,60264000
2014-01-16 00:00:00+00:00,2.5254080295562744,2.615833044052124,2.625624895095825,2.5939579010009766,2.606874942779541,35256000
2014-01-17 00:00:00+00:00,2.4805562496185303,2.5693750381469727,2.612499952316284,2.551042079925537,2.5910420417785645,42230400
2014-01-21 00:00:00+00:00,2.5360677242279053,2.6268749237060547,2.6312499046325684,2.5629169940948486,2.618333101272583,44011200
2014-01-22 00:00:00+00:00,2.5596001148223877,2.651249885559082,2.6666669845581055,2.625,2.647291898727417,39216000
2014-01-23 00:00:00+00:00,2.528827428817749,2.619374990463257,2.625,2.566667079925537,2.6237499713897705,64526400
2014-01-24 00:00:00+00:00,2.3789849281311035,2.4641671180725098,2.5941669940948486,2.463749885559082,2.5804169178009033,70824000
2014-01-27 00:00:00+00:00,2.3097949028015137,2.3924999237060547,2.478749990463257,2.3416669368743896,2.467082977294922,88864800
2014-01-28 00:00:00+00:00,2.308990716934204,2.391666889190674,2.3979170322418213,2.3458330631256104,2.355417013168335,54748800
2014-01-29 00:00:00+00:00,2.2361812591552734,2.3162500858306885,2.3804171085357666,2.2991669178009033,2.3283329010009766,68248800
