start_date,end_date,return_pct_QQQ,return_pct_TQQQ
2023-01-06 00:00:00+00:00,2023-01-17 00:00:00+00:00,4.739594192568863,14.569170467418902
2023-06-08 00:00:00+00:00,2023-06-15 00:00:00+00:00,4.844959701537199,14.980679097167604
2023-08-25 00:00:00+00:00,2023-08-31 00:00:00+00:00,3.8377055154389828,11.5667680164546
2023-10-27 00:00:00+00:00,2023-11-08 00:00:00+00:00,8.00149171893112,25.07988846977005
2023-11-14 00:00:00+00:00,2023-11-20 00:00:00+00:00,1.4039807870269705,4.098753020413359
2023-12-07 00:00:00+00:00,2023-12-13 00:00:00+00:00,3.4090604127993807,10.022571840112837
2024-01-05 00:00:00+00:00,2024-01-12 00:00:00+00:00,3.228739763893307,9.482384615242712
2024-01-18 00:00:00+00:00,2024-01-25 00:00:00+00:00,3.2349450295492854,9.542275419603108
2024-03-18 00:00:00+00:00,2024-03-22 00:00:00+00:00,2.0343729639688224,5.835978958258248
2024-05-09 00:00:00+00:00,2024-05-15 00:00:00+00:00,2.6937576983269818,7.997279948365321
2024-06-10 00:00:00+00:00,2024-06-18 00:00:00+00:00,4.384395719278444,13.371675892668012
2024-07-01 00:00:00+00:00,2024-07-10 00:00:00+00:00,4.365868189616662,13.19472887388995
2024-08-08 00:00:00+00:00,2024-08-19 00:00:00+00:00,7.409549538919458,22.8040005209863
2024-09-09 00:00:00+00:00,2024-09-13 00:00:00+00:00,4.594465628321931,13.940101094221635
